TransactionID,CustomerID,TransactionType,TransactionAmount,TransactionDate,TransactionTime,IP_Location,Device,OldBalance,NewBalance,SenderAccount,ReceiverAccount,SenderLocation,ReceiverLocation,SenderBank,ReceiverBank,isFraud
T000050,C4892,Deposit,3557.25,2024-09-29,14:36:06,21.196.18.107,Opera/9.86.(X11; Linux i686; szl-PL) Presto/2.9.176 Version/11.00,1179.05,-439.82,AC317588,AC513813,South Rhonda,Johnsonfort,Bank C,Bank D,1
T000051,C9587,Deposit,1471.45,2024-11-08,14:37:42,129.174.126.104,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/3.1),14742.09,13616.93,AC586545,AC300967,West Matthew,Lake Brendafort,Bank D,Bank B,1
T000052,C1578,Transfer,7433.89,2025-01-06,15:44:39,216.238.202.84,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7 rv:3.0; ayc-PE) AppleWebKit/535.47.1 (KHTML, like Gecko) Version/4.1 Safari/535.47.1",5152.57,-218.51,AC491496,AC258595,New Anna,West Kimberlybury,Bank C,Bank C,1
T000053,C5635,Transfer,49.06,2025-08-28,03:15:29,120.54.37.70,Opera/8.68.(X11; Linux i686; sd-IN) Presto/2.9.188 Version/10.00,774.12,770.99,AC181159,AC845874,New Travisland,Douglasborough,Bank C,Bank D,1
T000054,C9943,Transfer,1342.2,2024-12-19,21:47:11,101.120.182.3,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.12.1 (KHTML, like Gecko) Version/4.0.1 Safari/531.12.1",6555.99,6427.19,AC478895,AC272936,Allenmouth,East Donna,Bank B,Bank E,1
T000055,C6242,Transfer,5909.06,2025-07-06,11:02:57,163.86.132.56,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1 rv:4.0; nn-NO) AppleWebKit/533.11.6 (KHTML, like Gecko) Version/5.1 Safari/533.11.6",8291.9,4090.29,AC120084,AC415104,Collinstad,South Andreton,Bank E,Bank E,1
T000056,C4215,Payment,6154.53,2025-03-10,16:52:09,49.241.74.116,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1),5473.33,1289.68,AC384134,AC164170,Kathleentown,Katherineborough,Bank C,Bank C,1
T000057,C5211,Withdrawal,2200.87,2025-03-12,16:22:03,120.182.56.98,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/5.0 Safari/533.15.7",9866.84,8439.38,AC292292,AC620322,Aguilarshire,Deniseshire,Bank E,Bank E,1
T000058,C1578,Withdrawal,9030.52,2025-07-22,12:10:29,132.63.13.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_2_2 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/61.0.843.0 Mobile/62U546 Safari/535.2",19521.25,18948.04,AC858810,AC608142,Brownmouth,Jeffreymouth,Bank C,Bank C,1
T000059,C9977,Withdrawal,8525.97,2024-12-12,18:58:55,87.92.69.35,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.1),189.64,-3580.2,AC751680,AC784026,Leburgh,Justinbury,Bank E,Bank C,1
T000060,C4058,Transfer,6146.35,2025-07-27,20:16:28,190.192.63.113,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/24.0.882.0 Safari/535.0",13704.19,8931.26,AC289868,AC292592,North Lauren,Taylorberg,Bank C,Bank B,1
T000061,C8589,Withdrawal,2027.81,2025-04-19,18:48:44,114.46.122.2,Mozilla/5.0 (Windows NT 5.0; sk-SK; rv:1.9.2.20) Gecko/4209-04-07 18:54:30 Firefox/7.0,13044.49,11732.06,AC156743,AC265961,New Brittanyhaven,Lisashire,Bank C,Bank D,1
T000062,C1148,Deposit,7644.39,2025-04-20,19:37:44,113.101.246.111,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1),14545.12,11235.19,AC400852,AC828762,New Madisonshire,Saraborough,Bank C,Bank A,1
T000063,C7142,Payment,8603.48,2025-01-07,23:19:58,172.255.81.250,Mozilla/5.0 (Windows NT 6.1; nl-BE; rv:1.9.0.20) Gecko/4823-08-16 06:09:36 Firefox/3.8,5473.93,5133.12,AC687886,AC280393,Lake Roberthaven,New Victor,Bank C,Bank C,1
T000064,C8992,Deposit,5718.25,2025-01-06,15:22:15,9.190.218.226,Mozilla/5.0 (Windows CE; pap-AW; rv:1.9.2.20) Gecko/5150-01-12 15:25:48 Firefox/12.0,1877.15,-1643.19,AC774580,AC362417,Robertburgh,Padillafurt,Bank A,Bank B,1
T000065,C3942,Deposit,1026.44,2025-04-30,04:39:15,9.232.37.234,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 11.0; Trident/4.0),14869.33,14667.02,AC932828,AC353893,Jessicaburgh,Cherryshire,Bank C,Bank E,1
T000066,C5640,Deposit,9127.71,2025-04-13,03:14:38,101.94.118.4,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8 rv:4.0; uk-UA) AppleWebKit/532.31.5 (KHTML, like Gecko) Version/4.0 Safari/532.31.5",8522.45,5525.88,AC433290,AC580364,New Christinachester,South Theresaville,Bank B,Bank A,1
T000067,C3977,Transfer,1196.52,2025-03-17,07:16:43,160.3.240.31,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),15339.52,14165.11,AC543414,AC622829,Hallside,East Patrickmouth,Bank D,Bank B,1
T000068,C9676,Payment,4806.18,2024-10-15,17:29:20,41.141.73.179,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.1.5 (KHTML, like Gecko) Version/5.0 Safari/534.1.5",6946.53,6869.44,AC272333,AC440438,East Justinfurt,Walkerbury,Bank E,Bank C,1
T000069,C2071,Payment,8406.07,2024-11-24,22:53:55,34.120.51.114,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/12.9p8093.0 Mobile/07A731 Safari/531.1",12283.55,9718.81,AC247790,AC115736,Ramireztown,Johnsonfort,Bank C,Bank C,1
T000070,C2627,Payment,9072.08,2025-01-14,02:33:43,81.113.134.96,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1),13527.73,5061.05,AC602854,AC515804,West Emily,Port Megan,Bank C,Bank E,1
T000071,C6071,Deposit,6666.62,2025-05-06,11:03:57,173.224.96.127,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/58.0.855.0 Mobile/25U623 Safari/532.1",13824.5,7895.62,AC595522,AC105199,Lake Emilyberg,West James,Bank E,Bank A,1
T000072,C5454,Payment,3903.33,2024-10-28,04:22:51,164.193.108.74,Opera/8.10.(Windows NT 10.0; aa-DJ) Presto/2.9.171 Version/12.00,4266.81,1929.3,AC403109,AC988147,New Amanda,East Kristy,Bank D,Bank A,1
T000073,C9863,Withdrawal,8465.77,2024-10-03,09:55:47,191.63.6.59,"Mozilla/5.0 (Linux; Android 8.0.0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/47.0.843.0 Safari/536.1",17509.45,13311.08,AC512614,AC856454,West Kristineside,Smithview,Bank C,Bank D,1
T000074,C7425,Transfer,2552.81,2024-09-30,07:03:03,82.232.167.169,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_3) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/50.0.832.0 Safari/535.2",17021.09,15404.38,AC783019,AC215585,North Robertborough,North Maryside,Bank E,Bank D,1
T000075,C2853,Payment,688.26,2025-01-29,12:39:45,56.248.79.222,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.1),11719.68,11693.65,AC247914,AC104695,Meganshire,West Lorraine,Bank B,Bank C,1
T000076,C5911,Deposit,7504.86,2025-05-02,10:15:00,7.119.150.159,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ky-KG) AppleWebKit/532.17.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.17.6",4451.36,-588.67,AC417636,AC658922,Mathiston,Jacquelineland,Bank C,Bank C,1
T000077,C5449,Payment,6761.86,2025-06-14,04:09:32,73.11.223.49,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_4) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/26.0.849.0 Safari/535.2",3143.98,2279.29,AC350936,AC844641,Williamsbury,Port Martin,Bank A,Bank C,1
T000078,C9634,Transfer,2918.45,2024-12-04,01:04:09,82.130.9.110,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2 rv:5.0; ff-SN) AppleWebKit/531.29.2 (KHTML, like Gecko) Version/5.0 Safari/531.29.2",10517.19,9049.14,AC333006,AC692696,Santanaberg,Jasonfurt,Bank D,Bank D,1
T000079,C4345,Withdrawal,6207.92,2024-11-22,03:05:49,129.173.164.71,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1),5635.8,2768.5,AC445408,AC980248,Port Jessica,Hobbsbury,Bank B,Bank D,1
T000080,C2288,Transfer,2029.94,2024-11-25,04:44:57,140.90.129.31,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0),4143.28,2371.09,AC896509,AC503215,West Dennismouth,East James,Bank A,Bank C,1
T000081,C4022,Deposit,9567.9,2025-04-15,15:06:35,61.149.155.47,"Mozilla/5.0 (Linux; Android 13) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/35.0.874.0 Safari/531.2",2977.77,-6479.55,AC678724,AC147396,New Shelleychester,Nelsonstad,Bank A,Bank C,1
T000082,C9990,Deposit,5412.4,2025-02-12,14:33:03,216.214.126.56,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.1),15246.86,11138.57,AC185841,AC403518,New Brenda,Kennethhaven,Bank B,Bank A,1
T000083,C1337,Payment,8500.65,2025-08-28,14:38:45,118.222.24.104,Opera/9.74.(Windows NT 10.0; ur-IN) Presto/2.9.164 Version/12.00,14530.59,9738.71,AC210768,AC504172,North Adam,Lake Robert,Bank C,Bank E,1
T000084,C6945,Transfer,8403.5,2025-02-26,17:32:23,134.161.235.18,Mozilla/5.0 (Windows NT 5.01; unm-US; rv:1.9.0.20) Gecko/8509-12-29 05:36:48 Firefox/3.8,11520.43,3773.43,AC482350,AC857853,Alexanderton,West Danaburgh,Bank D,Bank C,1
T000085,C1363,Withdrawal,8894.25,2025-03-21,17:39:43,29.220.222.15,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/7820-07-08 21:37:26 Firefox/3.8,3696.96,889.31,AC315751,AC988146,East Jasonshire,North Waltermouth,Bank D,Bank C,1
T000086,C8889,Withdrawal,6230.47,2025-01-24,17:34:04,84.165.157.2,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_9; rv:1.9.2.20) Gecko/4309-07-10 07:44:08 Firefox/3.6.20,1319.85,-4560.55,AC256530,AC765946,Cookville,New Gailville,Bank E,Bank D,1
T000087,C5918,Transfer,8710.47,2025-03-08,01:53:10,119.46.253.17,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3 rv:3.0; ur-PK) AppleWebKit/531.24.6 (KHTML, like Gecko) Version/5.0 Safari/531.24.6",12771.12,10420.67,AC602131,AC129014,New William,North Cheryl,Bank E,Bank B,1
T000088,C4421,Deposit,3364.41,2025-04-03,07:06:29,118.35.206.22,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_9; rv:1.9.3.20) Gecko/6202-05-02 21:56:53 Firefox/3.6.10,18815.33,18609.08,AC516651,AC249738,Alexanderside,New Danielberg,Bank C,Bank A,1
T000089,C6627,Deposit,759.02,2024-09-19,16:50:23,74.245.253.107,Opera/8.96.(Windows NT 5.0; sl-SI) Presto/2.9.184 Version/11.00,5967.81,5248.5,AC533233,AC360655,Macdonaldfort,Jennymouth,Bank E,Bank B,1
T000090,C1120,Payment,3955.11,2025-07-10,10:13:20,201.131.195.187,Opera/9.87.(Windows NT 5.01; kok-IN) Presto/2.9.179 Version/11.00,6497.55,4994.33,AC402101,AC119936,Smithbury,North Miranda,Bank D,Bank E,1
T000091,C4421,Payment,7121.12,2024-10-03,13:32:35,95.108.72.220,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; li-BE) AppleWebKit/533.34.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6533.34.4",4590.43,2483.7,AC307726,AC212272,Nicholasberg,South Monicachester,Bank C,Bank A,1
T000092,C7231,Payment,2999.16,2025-07-04,14:58:02,120.215.111.34,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/14.7h2292.0 Mobile/53D034 Safari/536.0",14354.93,13825.97,AC714014,AC483442,Johnsonshire,New Tanya,Bank B,Bank E,1
